OBJECTID,ID,NAME,ADDRESS,DEPARTMENT,INSTALL_YEAR,PS_14,PS_32,VDRVP_W_S,TOTAL_SITE_SERVERS,MONITOR,EXTERIOR_CAM,INTERIOR_CAM,PTZ_CAM,TOTAL_STATIONARY_CAM,TOTAL_SITE_CAMERA,TOTAL_SITE_CAMERA2,AVAILABLE_CAMERA_PORT,WEB_URL,DESCRIPTION,X,Y,LATITUDE,LONGITUDE,OBJECTID_1,POINT_X,POINT_Y,INSTALL_YE,TOTAL_SITE,EXTERIOR_C,INTERIOR_C,TOTAL_STAT,TOTAL_SI_1,TOTAL_SI_2,AVAILABLE_,DESCRIPTIO
,31,CCTV-0008,Canal Road and Chain Bridge Road N.W.,DDOT, , , , , , ,1, , , , , , , , ,390305.989495,140262.370999,38.930188,-77.111802,332,,,,,,,,,,,
,32,CCTV-0054,Macarthur Blvd. and Loughboro Rd. N.W.,DDOT, , , , , , ,1, , , , , , , , ,390325.556494,140877.422003,38.935729,-77.111585,333,,,,,,,,,,,
,33,Key Elementary School,5001 DANA PLACE NW,DCPS,2003,0,1,0,1,1,12,14,0,26,26,32,6, , ,391283.150495,139885.289997,38.926802,-77.100527,334,,,,,,,,,,,
,34,Mann Elementary School,4430 NEWARK STREET NW,DCPS,2003,0,1,0,1,1,6,8,0,14,14,32,18, , ,392385.280493,140715.660003,38.934292,-77.087826,335,,,,,,,,,,,
,35,Banneker Senior High School,800 EUCLID STREET NW,DCPS,2005,0,0,1,1,2,2,16,0,18,27,32,14, , ,397920.840499,139551.170001,38.923832,-77.023977,336,,,,,,,,,,,
,36,CCTV-0025,9th St. and Constitution Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,397923.9415,136029.578999,38.892109,-77.023931,337,,,,,,,,,,,
,37,Bruce-Monroe Elementary School,3012 GEORGIA AVENUE NW,DCPS,2003,0,1,0,1,1,5,9,0,14,14,32,18, , ,397963.880498,140077.639999,38.928575,-77.023482,338,,,,,,,,,,,
,38,Jefferson Junior High School,801 7TH STREET SW,DCPS,1999,0,1,0,1,2,3,13,0,16,60,32,16, , ,398012.0805,134671.029996,38.879871,-77.022911,339,,,,,,,,,,,
,39,Takoma Educational Center,7010 PINEY BRANCH ROAD NW,DCPS,1999,1,0,0,1,1,3,11,0,14,14,14,0, , ,398024.760496,145235.930005,38.975043,-77.022795,340,,,,,,,,,,,
,40,Cleveland Elementary School,1825 8TH STREET NW,DCPS,2004,0,1,0,1,1,10,18,0,28,28,32,4, , ,398030.710493,138586.760001,38.915145,-77.022707,341,,,,,,,,,,,
,41,Banneker Recreation  Center,2500 Georgia Ave NW,DPR, , , , , , ,6,7,0, ,13, , , , ,398041.679496,139425.870004,38.922704,-77.022583,342,,,,,,,,,,,
,42,Clark Elementary School,4501 KANSAS AVENUE NW,DCPS,2003,0,1,0,1,1,2,14,0,16,16,32,16, , ,398056.760498,141967.699998,38.945602,-77.022416,343,,,,,,,,,,,
,43,CCTV-0036,7th St. and Pennsylvania Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,398097.121496,136160.189999,38.893286,-77.021935,344,,,,,,,,,,,
,44,CCTV-0087,7th St. and New York Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,398097.239499,137232.732999,38.902948,-77.021936,345,,,,,,,,,,,
,45,CCTV-0023,7th St. and Independence Ave. S.W.,DDOT, , , , , , ,1, , , , , , , , ,398098.504497,135525.072004,38.887564,-77.021917,346,,,,,,,,,,,
,46,CCTV-0088,7th St. and Rhode Island Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,398100.042499,138305.697999,38.912613,-77.021907,347,,,,,,,,,,,
,47,CCTV-0101,7th St S.W. and I-695 ?,DDOT, , , , , , ,1, , , , , , , , ,398103.538497,134997.731003,38.882814,-77.021858,348,,,,,,,,,,,
,48,Kennedy Recreation Center,1401 7th St. NW,DPR, , , , , , , ,3, , ,7, , , , ,398132.079496,137903.459997,38.90899,-77.021536,349,,,,,,,,,,,
,49,Park View Recreation Center,693 Otis Pl. NW,DPR, , , , , , ,1,2,0, ,3, , , , ,398148.899496,140791.130003,38.935003,-77.02135,350,,,,,,,,,,,
,50,Park View Elementary School,3560 WARDER STREET NW,DCPS,2003,0,1,0,1,1,4,10,0,14,14,32,18, , ,398163.159501,140725.729998,38.934414,-77.021186,351,,,,,,,,,,,
,51,Coolidge Senior High School,6315 5TH STREET NW,DCPS,2005,0,0,3,3,3,7,60,0,67,102,96,29, , ,398306.010495,144349.52,38.967058,-77.019547,352,,,,,,,,,,,
,52,Whittier Elementary School,6201 5TH STREET NW,DCPS,2003,0,1,0,1,1,5,12,0,17,17,32,15, , ,398332.710499,144216.17,38.965857,-77.019239,353,,,,,,,,,,,
,53,Amidon Elementary School,401 I STREET SW,DCPS,2003,0,1,0,1,1,5,9,0,14,18,32,18, , ,398427.290496,134631.469998,38.879515,-77.018125,354,,,,,,,,,,,
,54,Montgomery Elementary School,421 P STREET NW,DCPS,1999,0,1,0,1,2,2,14,0,16,16,32,16, , ,398428.650495,138002.889997,38.909886,-77.018117,355,,,,,,,,,,,
,55,CCTV-0130,I-295 north @ blue plans,DDOT, , , , , , ,1, , , , , , , , ,398442.332497,127759.898004,38.817613,-77.017936,356,,,,,,,,,,,
,56,Barnard Elementary School,430 DECATUR STREET NW,DCPS,2003,0,1,0,1,1,12,16,0,28,28,32,4, , ,398458.990501,142259.460004,38.948231,-77.017777,357,,,,,,,,,,,
,57,Transportation Bus Lot - New York Avenue,1245 New York Avenue NE,DCPS,2005,0,0,1,1,1,0,16,0,16,16,32,16, , ,401083.855502,138526.987997,38.914608,-76.987503,358,,,,,,,,,,,
,58,Columbia Heights Rec,1480 Girard St NW,DPR, , , , , , ,4,12,0, ,16, , , , ,396956.5985,139707.684996,38.92524,-77.035097,359,,,,,,,,,,,
,59,Emery Rec Center,5701 Georgia Ave NW,DPR, , , , , , ,10,6,0, ,16, , , , ,397583.821501,143435.01,38.958818,-77.027877,360,,,,,,,,,,,
,60,Carroll Apartments,410 M Street SE,DCHA, , , , , , ,6,19, , , , , , , ,400004.029995,134320.019997,38.876711,-76.999954,361,,,,,,,,,,,
,61,Claridge Towers,1221 M Street NW,DCHA, , , , , , ,4,46, , , , , , , ,397500.460001,137555.399998,38.905853,-77.028818,362,,,,,,,,,,,
,62,Colorado Apartments,5336 Colorado Ave NW,DCHA, , , , , , ,6,10, , , , , , , ,396999.519999,143055.860004,38.955401,-77.034617,363,,,,,,,,,,,
,355,"OCTO: ODC-1 @ 3919 Benning Road, SE","3919 Benning Road, SE",PSD, , , , , , ,12,14, , ,26, , , , ,404462.609502,136295.260004,38.894493,-76.948558,364,,,,,,,,,,,
,356,Examiner(OCME),"1910 Massachusetts Ave, SE",PSD, , , , , , ,4,19, , ,23, , , , ,402201.810499,135163.839998,38.88431,-76.974623,365,,,,,,,,,,,
,357,"DDS @ 1125 15th Street, NW","1125 15th Street, NW",PSD, , , , , , ,0,13, , ,13, , , , ,397041.859496,137401.909998,38.904469,-77.034104,366,,,,,,,,,,,
,358,CCTV-0124,13th St. and K St. N.W.,DDOT, , , , , , ,1, , , , , , , , ,397430.611501,137185.895,38.902524,-77.029621,367,,,,,,,,,,,
,359,Tubman Elementary School,3101 13TH STREET NW,DCPS,2003,0,1,0,1,1,3,11,0,14,18,32,18, , ,397447.020496,140146.959997,38.929198,-77.029443,368,,,,,,,,,,,
,360,Roosevelt STAY Senior High School,4301 13TH STREET NW,DCPS, , , , , , , , , , , , , , , ,397494.770493,141698.28,38.943173,-77.028898,369,,,,,,,,,,,
,361,Roosevelt Senior High School,4301 13TH STREET NW,DCPS,2005,0,0,2,2,2,13,41,0,54,106,64,10, , ,397494.770493,141698.28,38.943173,-77.028898,370,,,,,,,,,,,
,362,Garrison Elementary School,1200 S STREET NW,DCPS,2003,0,1,0,1,1,3,11,0,14,96,32,18, , ,397518.520496,138448.809999,38.913901,-77.028613,371,,,,,,,,,,,
,363,Cardozo Senior High School,1200 CLIFTON STREET NW,DCPS,1999,0,2,0,2,2,11,52,0,63,79,64,1, , ,397531.110493,139367.020001,38.922173,-77.028471,372,,,,,,,,,,,
,364,CCTV-0024,12th St. and Constitution Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,397561.211495,136029.624004,38.892108,-77.028112,373,,,,,,,,,,,
,365,CCTV-0010,Georgia Ave. and Missouri Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,397569.590493,143681.519003,38.961039,-77.028042,374,,,,,,,,,,,
