OBJECTID,ID,NAME,ADDRESS,DEPARTMENT,INSTALL_YEAR,PS_14,PS_32,VDRVP_W_S,TOTAL_SITE_SERVERS,MONITOR,EXTERIOR_CAM,INTERIOR_CAM,PTZ_CAM,TOTAL_STATIONARY_CAM,TOTAL_SITE_CAMERA,TOTAL_SITE_CAMERA2,AVAILABLE_CAMERA_PORT,WEB_URL,DESCRIPTION,X,Y,LATITUDE,LONGITUDE,OBJECTID_1,POINT_X,POINT_Y,INSTALL_YE,TOTAL_SITE,EXTERIOR_C,INTERIOR_C,TOTAL_STAT,TOTAL_SI_1,TOTAL_SI_2,AVAILABLE_,DESCRIPTIO
,123,Hine Junior High School,335 8TH STREET SE,DCPS,1999,1,1,0,2,2,1,15,0,16,16,46,30, , ,400394.369501,135244.499999,38.885039,-76.995455,439,,,,,,,,,,,
,124,CCTV,New York Ave & Florida Ave NE,MPD, , , , , , , , , , , , , , ,Red Light,399601.653054,137892.960575,38.908897,-77.004593,440,,,,,,,,,,,
,125,CCTV,Constitution Ave & 15th St NW,MPD, , , , , , , , , , , , , , ,Red Light,397080.484794,136027.713276,38.89209,-77.033653,441,,,,,,,,,,,
,126,CCTV,K St & 27th St NW,MPD, , , , , , , , , , , , , , ,Red Light,395133.346041,137187.752637,38.902531,-77.056106,442,,,,,,,,,,,
,127,CCTV,Independence Ave & 3rd St SW,MPD, , , , , , , , , , , , , , ,Red Light,398683.171486,135525.16998,38.887566,-77.015178,443,,,,,,,,,,,
,128,CCTV,Connecticut Ave & Nebraska Ave NW,MPD, , , , , , , , , , , , , , ,Red Light,393897.079993,143127.830017,38.956033,-77.070411,444,,,,,,,,,,,
,129,CCTV,14th St & C St SW,MPD, , , , , , , , , , , , , , ,Red Light,397227.357146,135348.079994,38.885968,-77.031957,445,,,,,,,,,,,
,130,CCTV,Benning Rd & Minnesota Ave  NE,MPD, , , , , , , , , , , , , , ,Red Light,404410.328739,136366.259132,38.895133,-76.94916,446,,,,,,,,,,,
,131,CCTV,New York Ave & New Jersey Ave NW,MPD, , , , , , , , , , , , , , ,Red Light,398718.382525,137500.57235,38.905361,-77.014776,447,,,,,,,,,,,
,132,CCTV,M St & Whitehurst FRWY NW,MPD, , , , , , , , , , , , , , ,Red Light,393908.509977,137465.24995,38.905023,-77.070229,448,,,,,,,,,,,
,133,CCTV,Wisconsin Ave & Brandywine St NW,MPD, , , , , , , , , , , , , , ,Red Light,393030.779991,142423.8,38.949685,-77.080399,449,,,,,,,,,,,
,134,CCTV,Pennsylvania Ave & Southern Ave SE,MPD, , , , , , , , , , , , , , ,Red Light,404620.655521,132881.732441,38.863742,-76.946759,450,,,,,,,,,,,
,135,CCTV,Florida Ave & New York Ave NE,MPD, , , , , , , , , , , , , , ,Red Light,399601.653054,137892.960575,38.908897,-77.004593,451,,,,,,,,,,,
,136,CCTV,Connecticut Ave & Calvert  St NW,MPD, , , , , , , , , , , , , , ,Red Light,395532.999993,139518.530015,38.92353,-77.051513,452,,,,,,,,,,,
,137,CCTV,New York Ave & North Capitol St NW,MPD, , , , , , , , , , , , , , ,Red Light,399214.791773,137721.302014,38.90735,-77.009053,453,,,,,,,,,,,
,138,CCTV,Pennsylvania Ave & 27th St SE,MPD, , , , , , , , , , , , , , ,Red Light,402692.790017,133884.199994,38.872781,-76.968969,454,,,,,,,,,,,
,139,CCTV,North Capitol St & H St NW,MPD, , , , , , , , , , , , , , ,Red Light,399213.820477,136928.417148,38.900208,-77.009063,455,,,,,,,,,,,
,140,CCTV,New York Ave & Montana  NE,MPD, , , , , , , , , , , , , , ,Red Light,401862.120415,138816.742303,38.917217,-76.978528,456,,,,,,,,,,,
,340,Shepherd Elementary School,7800 14TH STREET NW,DCPS,2003,0,1,0,1,1,4,10,0,14,14,32,18, , ,397054.619498,146297.530002,38.984603,-77.033995,457,,,,,,,,,,,
,341,CCTV-0126,15th St (E) and Pennsylvania Ave N.W.,DDOT, , , , , , ,1, , , , , , , , ,397080.266496,136404.808,38.895487,-77.033657,458,,,,,,,,,,,
,342,CCTV-0060,15th St. and Constitution Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,397081.253498,136029.580002,38.892106,-77.033644,459,,,,,,,,,,,
,343,CCTV-0117,"15th St(E), New York Ave and Pennsylvania Ave. N.W.",DDOT, , , , , , ,1, , , , , , , , ,397082.539495,136772.997995,38.898803,-77.033632,460,,,,,,,,,,,
,344,CCTV-0125,15th St (E) and K St. N.W.,DDOT, , , , , , ,1, , , , , , , , ,397082.539495,137185.129001,38.902516,-77.033634,461,,,,,,,,,,,
,345,CCTV-0009,14th St Bridge,DDOT, , , , , , ,1, , , , , , , , ,397124.118501,134901.508,38.881944,-77.033145,462,,,,,,,,,,,
,346,West Elementary School,1338 FARRAGUT STREET NW,DCPS,1999,0,1,0,1,1,7,10,0,17,17,32,15, , ,397204.2605,142607.98,38.951367,-77.032253,463,,,,,,,,,,,
,347,CCTV-0118,14th St and I St. N.W.,DDOT, , , , , , ,1, , , , , , , , ,397226.986495,137054.823,38.901343,-77.031968,464,,,,,,,,,,,
,348,CCTV-0104,14th St. and Independence Ave. S.W.,DDOT, , , , , , ,1, , , , , , , , ,397228.432493,135529.089003,38.887598,-77.031946,465,,,,,,,,,,,
,349,CCTV-0105,14th St. and Pennsylvania Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,397228.432493,136406.131003,38.895499,-77.031949,466,,,,,,,,,,,
,350,CCTV-0026,14th St. and constitution Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,397229.198502,136029.904004,38.89211,-77.031939,467,,,,,,,,,,,
,351,Powell Elementary School,1350 UPSHUR STREET NW,DCPS,2003,0,1,0,1,1,2,12,0,14,14,32,18, , ,397292.790498,141516.389999,38.941534,-77.031227,468,,,,,,,,,,,
,352,Brightwood Elementary School,1300 NICHOLSON STREET NW,DCPS,2007,0,0,1,1,2,5,17,0,22,22,32,10, , ,397340.189499,143625.699998,38.960535,-77.030689,469,,,,,,,,,,,
,353,Sharpe Health Special Education School,4300 13TH STREET NW,DCPS,1999,2,0,0,2,2,4,12,0,16,38,28,12, , ,397358.669494,141731.759999,38.943474,-77.030468,470,,,,,,,,,,,
,354,CCTV-0123,H St. and New York Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,397427.516494,136926.995003,38.900192,-77.029656,471,,,,,,,,,,,
,412,CFSA @ 955 L'Enfant - Promanade Level& 5th Floor Suites,955 L'Enfant Promanade Level,PSD, , , , , , , , , , , , , , , ,397827.4395,135181.950003,38.884473,-77.02504,472,,,,,,,,,,,
,413,Woodrow Wilson Senior High School,3950 CHESAPEAKE STREET NW,DCPS,2005,0,0,2,2,2,8,55,0,63,63,64,1, , ,393258.179502,142475.959998,38.950156,-77.077776,473,,,,,,,,,,,
,414,CCTV-0044,Connecticut Ave. and Oliver St.,DDOT, , , , , , ,1, , , , , , , , ,393359.326499,144314.175,38.966716,-77.076627,474,,,,,,,,,,,
,415,Deal Junior High School,3815 FORT DRIVE NW,DCPS,1999,0,1,0,1,2,3,25,0,28,145,32,4, , ,393481.780497,142779.940002,38.952896,-77.075199,475,,,,,,,,,,,
,416,CCTV-0045,Connecticut Ave. and Military Rd. N.W.,DDOT, , , , , , ,1, , , , , , , , ,393646.557498,143681.562995,38.96102,-77.073306,476,,,,,,,,,,,
,417,CCTV-0042,Wisconsin Ave. and Massachusetts Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,393660.008494,140088.506003,38.928652,-77.073118,477,,,,,,,,,,,
,418,CCTV-0052,Wisconsin Ave. and Calvert St. N.W.,DDOT, , , , , , ,1, , , , , , , , ,393677.754495,139410.393996,38.922544,-77.072907,478,,,,,,,,,,,
,419,Hearst Elementary School,3950 37TH STREET NW,DCPS,2003,0,1,0,1,1,3,11,0,14,14,32,18, , ,393761.889496,141428.279996,38.940722,-77.071955,479,,,,,,,,,,,
,420,CCTV-0046,Connecticut Ave. and Nebraska Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,393896.925502,143127.905,38.956034,-77.070413,480,,,,,,,,,,,
,421,Duke Ellington Senior High School,3500 R STREET NW,DCPS,1999,0,1,0,1,2,1,15,0,16,22,32,16, , ,393902.400496,138400.269997,38.913446,-77.070308,481,,,,,,,,,,,
,422,Murch Elementary School,4810 36TH STREET NW,DCPS,2003,0,1,0,1,1,5,9,0,14,14,32,18, , ,393925.570502,142783.670004,38.952933,-77.070079,482,,,,,,,,,,,
,423,CCTV-0003,Key Bridge and M St. N.W.,DDOT, , , , , , ,1, , , , , , , , ,394044.9415,137474.420003,38.905107,-77.068656,483,,,,,,,,,,,
,424,Fillmore Arts Center @ Hardy Middle School,1819 35TH STREET NW,DCPS, , , , , , , , , , , , , , , ,394049.460495,138629.130005,38.915509,-77.068614,484,,,,,,,,,,,
,425,Lafayette Elementary School,5701 BROAD BRANCH ROAD NW,DCPS,2003,0,1,0,1,1,4,10,0,14,14,32,18, , ,394103.710496,144303.699995,38.966627,-77.068037,485,,,,,,,,,,,
,426,CCTV-0097,Wisconsin Ave. and Q St. N.W.,DDOT, , , , , , ,1, , , , , , , , ,394341.649497,138103.623002,38.910777,-77.06524,486,,,,,,,,,,,
,427,Hyde Elementary School,3219 O STREET NW,DCPS,2003,0,1,0,1,1,2,12,0,14,14,32,18, , ,394402.369493,137797.479996,38.908019,-77.064538,487,,,,,,,,,,,
,428,CCTV-0053,Connecticut Ave. and Van Ness St N.W.,DDOT, , , , , , ,1, , , , , , , , ,394543.096495,141699.052996,38.943167,-77.062946,488,,,,,,,,,,,
,429,CCTV-0028,Wisconsin Ave. and M St. N.W.,DDOT, , , , , , ,1, , , , , , , , ,394551.028495,137479.523004,38.905156,-77.062821,489,,,,,,,,,,,
,430,CCTV-0134,West military speed camera,DDOT, , , , , , ,1, , , , , , , , ,394626.290501,143680.879999,38.96102,-77.062002,490,,,,,,,,,,,
,431,Georgetown Recreation Center,3030 Q St. NW,DPR, , , , , , ,2,4,2, ,6, , , , ,394733.6005,138049.060004,38.910288,-77.060721,491,,,,,,,,,,,
,432,CCTV-0048,Connecticut Ave. and Macomb St. N.W.,DDOT, , , , , , ,1, , , , , , , , ,395030.838497,140626.781998,38.93351,-77.057312,492,,,,,,,,,,,
,433,Oyster-Adams Bilingual School,2801 CALVERT STREET NW-2020 19th ST NW,DCPS,1999,2,0,0,2,1,8,20,0,28,28,28,0, , ,395039.599493,139526.149998,38.923595,-77.057203,493,,,,,,,,,,,
,434,CCTV-0068,Pennsylvania Ave. and 28th St. N.W.,DDOT, , , , , , ,1, , , , , , , , ,395055.975501,137458.826001,38.904972,-77.057,494,,,,,,,,,,,
,435,CCTV-0041,27th St./ Whitehurst Freeway and K St. N.W.,DDOT, , , , , , ,1, , , , , , , , ,395132.959497,137189.729003,38.902549,-77.05611,495,,,,,,,,,,,
,436,CCTV-0131,Roosevelt Bridge,DDOT, , , , , , ,1, , , , , , , , ,395144.021495,136128.421996,38.892988,-77.055975,496,,,,,,,,,,,
,437,CCTV-0133,East military speed camera,DDOT, , , , , , ,1, , , , , , , , ,395210.471498,143682.212002,38.961035,-77.055262,497,,,,,,,,,,,
,438,1S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , , ,398737.802837,136279.966379,38.894366,-77.01455,498,,,,,,,,,,,
,439,4S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , , ,398768.801581,136309.427998,38.894631,-77.014192,499,,,,,,,,,,,
,440,12N,"I-395, CAMERA DIR - NORTH",DDOT, , , , , , , , , , , , , , , ,398789.628715,136210.539442,38.89374,-77.013952,500,,,,,,,,,,,
,441,9N,"I-395, CAMERA DIR - NORTH",DDOT, , , , , , , , , , , , , , , ,398776.876248,136218.433825,38.893812,-77.014099,501,,,,,,,,,,,
,442,5S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , , ,398767.767342,136192.92889,38.893582,-77.014204,502,,,,,,,,,,,
,443,2S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , , ,398750.156792,136166.816695,38.893347,-77.014407,503,,,,,,,,,,,
,444,3S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , , ,398750.156792,136058.724349,38.892373,-77.014407,504,,,,,,,,,,,
,445,8N,"I-395, CAMERA DIR - NORTH",DDOT, , , , , , , , , , , , , , , ,398776.876248,136107.91244,38.892816,-77.014099,505,,,,,,,,,,,
,446,11N,"I-395, CAMERA DIR - NORTH",DDOT, , , , , , , , , , , , , , , ,398793.272277,136098.196274,38.892728,-77.01391,506,,,,,,,,,,,
,447,7N,"I-395, CAMERA DIR - NORTH",DDOT, , , , , , , , , , , , , , , ,398777.685927,136005.487856,38.891893,-77.014089,507,,,,,,,,,,,
,448,10N,"I-395, CAMERA DIR - NORTH",DDOT, , , , , , , , , , , , , , , ,398790.640815,135986.055524,38.891718,-77.01394,508,,,,,,,,,,,
,449,8S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , , ,398768.779442,135857.316327,38.890558,-77.014192,509,,,,,,,,,,,
,450,9S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , , ,398766.350402,135742.341698,38.889523,-77.01422,510,,,,,,,,,,,
,451,4N,"I-395, CAMERA DIR - NORTH",DDOT, , , , , , , , , , , , , , , ,398781.734329,135647.609079,38.888669,-77.014042,511,,,,,,,,,,,
,523,Ballou Senior High School,3401 4TH STREET SE,DCPS,2005,0,0,3,3,4,12,60,3,69,96,96,24, , ,399915.330499,130176.290001,38.839382,-77.000975,512,,,,,,,,,,,
,524,CCTV-0047,"Michigan Ave, 4th St, and Harewood Rd. N.E.",DDOT, , , , , , ,1, , , , , , , , ,399951.496495,140383.636997,38.931334,-77.000559,513,,,,,,,,,,,
,525,Simon Elementary School,401 MISSISSIPPI AVENUE SE,DCPS,1999,1,0,0,1,2,3,11,0,14,21,14,0, , ,399983.070497,129798.630005,38.83598,-77.000195,514,,,,,,,,,,,
,526,Stuart-Hobson Middle School,410 E STREET NE,DCPS,1999,0,1,0,1,2,1,14,0,15,15,32,17, , ,399999.619498,136494.279996,38.896297,-77.000004,515,,,,,,,,,,,
,527,School Within School @ Peabody,425 C STREET NE,DCPS, , , , , , , , , , , , , , , ,400012.320493,136116.699995,38.892896,-76.999858,516,,,,,,,,,,,
,528,Peabody Elementary School,425 C STREET NE,DCPS,1999,0,1,0,1,1,4,10,0,14,14,32,18, , ,400012.320493,136116.699995,38.892896,-76.999858,517,,,,,,,,,,,
,529,Hendley Elementary School,425 CHESAPEAKE STREET SE,DCPS,1999,1,0,0,1,2,2,12,0,14,14,14,0, , ,400070.780501,129022.180003,38.828986,-76.999185,518,,,,,,,,,,,
,530,Jackie Robinson Center,821 HOWARD ROAD SE,DCPS, , , , , , , , , , , , , , , ,400169.369498,132911.510002,38.864022,-76.998048,519,,,,,,,,,,,
,531,CCTV-0132,Suitland Parkway and Firth Sterling Ave. S.E.,DDOT, , , , , , ,1, , , , , , , , ,400196.203493,132727.930998,38.862369,-76.997739,520,,,,,,,,,,,
,532,Backus Middle School,5171 SOUTH DAKOTA AVENUE NE,DCPS,1999,0,1,0,1,2,0,16,0,16,16,32,16, , ,400236.860498,142826.559995,38.953341,-76.997267,521,,,,,,,,,,,
,533,CCTV-0136,Riggs Rd. and Eastern Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,400239.095498,143745.358002,38.961617,-76.997241,522,,,,,,,,,,,
,534,Hart Middle School,601 MISSISSIPPI AVENUE SE,DCPS,1999,0,1,0,1,2,3,13,0,16,49,32,16, , ,400244.940502,129993.709997,38.837738,-76.997179,523,,,,,,,,,,,
,535,J.O. Wilson Elementary School,660 K STREET NE,DCPS,1999,1,0,0,1,2,3,11,0,14,29,14,0, , ,400295.869501,137211.429998,38.902758,-76.996589,524,,,,,,,,,,,
,536, ,1923 Vermont Ave NW,DOC, , , , , , ,1,1, , , , , , , ,397187.196493,137344.877996,38.903955,-77.032428,525,,,,,,,,,,,
,537, ,1901 D St SE,DOC, , , , , , ,1,1, , , , , , , ,402049.460496,135066.230004,38.883431,-76.976379,526,,,,,,,,,,,
,538,One Judiciary Square [OJS],"441 4th Street, NW",PSD, , , , , , ,7,43, , ,50, , , , ,398642.1795,136399.840003,38.895446,-77.015652,527,,,,,,,,,,,
,539,Reeves Center,"2000 14th Street, NW",PSD, , , , , , ,6,41, , ,47, , , , ,397189.880496,138842.230003,38.917444,-77.032404,528,,,,,,,,,,,
,491,CCTV-0100,South Capitol St. and Firth Sterling Ave. S.E.,DDOT, , , , , , ,1, , , , , , , , ,399697.292493,132540.157002,38.860677,-77.003488,529,,,,,,,,,,,
,492,Tyler Elementary School,1001 G STREET SE,DCPS,2003,0,1,0,1,1,2,12,0,14,14,32,18, , ,400690.520494,134805.51,38.881084,-76.992042,530,,,,,,,,,,,
,493,Watkins Elementary School,420 12TH STREET SE,DCPS,2003,0,1,0,1,1,4,10,0,14,18,32,18, , ,400867.920499,135070.019995,38.883467,-76.989997,531,,,,,,,,,,,
,494,North Michigan Park Recreation Center,1333 Emerson ST. NE,DPR, , , , , , , , , , ,7, , , , ,401180.450498,142451.51,38.949961,-76.986382,532,,,,,,,,,,,
,495,Payne Elementary School,305 15TH STREET SE,DCPS,1999,0,1,0,1,1,3,11,0,14,14,32,18, , ,401371.280501,135254.99,38.885132,-76.984195,533,,,,,,,,,,,
,496,Ketcham Elementary School,1919 15TH STREET SE,DCPS,2003,0,1,0,1,1,5,9,0,14,14,32,18, , ,401421.440494,133135.869999,38.866042,-76.983621,534,,,,,,,,,,,
,497,Moten Center @ Moten Elementary School,1565 MORRIS ROAD SE,DCPS, , , , , , , , , , , , , , , ,401480.430493,132093.890004,38.856656,-76.982944,535,,,,,,,,,,,
,498,CHOICE Academy Middle School/Junior High School @ Taft,1800 PERRY STREET NE,DCPS, , , , , , , , , , , , , , , ,401855.750495,140990.2,38.936796,-76.978596,536,,,,,,,,,,,
,499,"Incarcerated Youth Program, Correctional Detention Facility",1901 D ST SE,DCPS, , , , , , , , , , , , , , , ,402024.4605,135104.878004,38.883779,-76.976667,537,,,,,,,,,,,
,500,CCTV-0032,Rhode Island Ave. and S. Dakota Ave. N.E.,DDOT, , , , , , ,1, , , , , , , , ,402466.569492,140379.041004,38.931289,-76.971552,538,,,,,,,,,,,
,501,CCTV-0064,Pennsylvania Ave. and Minnesota Ave. S.E.,DDOT, , , , , , ,1, , , , , , , , ,402551.909502,133959.465002,38.873459,-76.970592,539,,,,,,,,,,,
,502,CCTV-0069,Alabama Ave. and Branch Ave. S.E.,DDOT, , , , , , ,1, , , , , , , , ,403557.975497,132679.615999,38.861926,-76.959005,540,,,,,,,,,,,
,503,CCTV-0034,Benning Rd. and East Capitol St.,DDOT, , , , , , ,1, , , , , , , , ,405418.272498,135771.996,38.889774,-76.937546,541,,,,,,,,,,,
,504,CCTV-0082,E. Capitol St. and 50th St.,DDOT, , , , , , ,1, , , , , , , , ,406064.3655,135775.665001,38.889803,-76.930099,542,,,,,,,,,,,
,505,H.D. Woodson Senior High School,5500 EADS STREET NE,DCPS,2005,0,0,2,2,2,7,31,0,38,38,64,26, , ,406704.960494,136485.520003,38.896193,-76.922708,543,,,,,,,,,,,
,506,CCTV-0037,E. Capitol St. and Southern Ave.,DDOT, , , , , , ,1, , , , , , , , ,407518.244493,135773.453996,38.889772,-76.913341,544,,,,,,,,,,,
,507,CCTV-0015,Georgia Ave. and Eastern Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,397693.802493,146299.224998,38.98462,-77.026618,545,,,,,,,,,,,
,508,Meyer Elementary School,2501 11TH STREET NW,DCPS,2003,0,1,0,1,1,3,11,0,14,46,32,18, , ,397694.000493,139439.499997,38.922826,-77.026593,546,,,,,,,,,,,
,509,CCTV-0011,Piney Branch Ave. and Eastern Ave.,DDOT, , , , , , ,1, , , , , , , , ,397707.210499,145716.717999,38.979373,-77.026461,547,,,,,,,,,,,
,510,Raymond Elementary School,915 SPRING ROAD NW,DCPS,2003,0,1,0,1,1,2,13,0,15,15,32,17, , ,397708.280494,140880.940003,38.935811,-77.026433,548,,,,,,,,,,,
,511,Garnet-Patterson Middle School,2001 10TH STREET NW,DCPS,1999,0,1,0,1,2,1,15,0,16,19,32,16, , ,397767.000496,138853.229998,38.917545,-77.025749,549,,,,,,,,,,,
,512,CCTV-0018,Georgia Ave. and Kansas Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,397779.785496,141603.723999,38.942322,-77.02561,550,,,,,,,,,,,
,513,Truesdell Elementary School,800 INGRAHAM STREET NW,DCPS,1999,2,0,0,2,2,6,14,0,20,20,28,8, , ,397826.840499,142896.549998,38.953968,-77.025072,551,,,,,,,,,,,
,514,Shaw Junior High School,925 RHODE ISLAND AVENUE NW,DCPS,1999,0,1,0,1,1,3,11,0,14,32,32,18, , ,397835.159497,138255.360002,38.912159,-77.024961,552,,,,,,,,,,,
,515,Seaton Elementary School,1503 10TH STREET NW,DCPS,1999,1,0,0,1,2,4,10,0,14,14,14,0, , ,397841.919496,138084.319996,38.910618,-77.024882,553,,,,,,,,,,,
,516,CCTV-0067,Pennsylvania Ave. and 9th St. N.W.,DDOT, , , , , , ,1, , , , , , , , ,397920.1995,136225.888998,38.893877,-77.023974,554,,,,,,,,,,,
,517,School Without Walls Senior High School @ Emery,215 G STREET NE,DCPS,1999,2,0,0,2,2,0,16,0,16,53,28,12, , ,399777.435494,136742.114997,38.89853,-77.002566,555,,,,,,,,,,,
,518,Shaed Elementary School,301 DOUGLAS STREET NE,DCPS,2003,0,1,0,1,1,3,11,0,14,19,32,18, , ,399779.051497,139532.008002,38.923662,-77.002548,556,,,,,,,,,,,
,0, ,14th Street and Park Road NW,DDOT, , , , , , , , , , , , , , , ,0,0,0,0,557,,,,,,,,,,,
,0, ,East Capitol St and 19th St,DDOT, , , , , , , , , , , , , , , ,0,0,0,0,558,,,,,,,,,,,
,0, ,1st St and N St SE,DDOT, , , , , , , , , , , , , , , ,0,0,0,0,559,,,,,,,,,,,
,0, ,1st St and M St SE,DDOT, , , , , , , , , , , , , , , ,0,0,0,0,560,,,,,,,,,,,
,0, ,1st St and Potomac Ave SE,DDOT, , , , , , , , , , , , , , , ,0,0,0,0,561,,,,,,,,,,,
,0,Support Services,1325 S St. NW,DPR, , , , , , , , , , ,6, , , , ,0,0,0,0,562,,,,,,,,,,,
,0,Guy Mason,3600 Calvert St. NW,DPR, , , , , , , , , , ,16, , , , ,0,0,0,0,563,,,,,,,,,,,
,0, , , , , , , , , , , , , , , , , , ,0,0,0,0,564,,,,,,,,,,,
,0,Wilson Recreation Center,"4551 Fort Drive, NW",DPR, , , , , , , , , , ,16, , , , ,0,0,0,0,565,,,,,,,,,,,
,0,Riggs LaSalle,501 Riggs Road NE,DPR, , , , , , , , , , ,16, , , , ,0,0,0,0,566,,,,,,,,,,,
,0, , , , , , , , , , , , , , , , , , ,0,0,0,0,567,,,,,,,,,,,
,0,Child Advocacy Center (Bundy School),"429 O St, NW",PSD, , , , , , ,10,14, , ,24, , , , ,0,0,0,0,568,,,,,,,,,,,
,0,Child and Family Services,"3700 10th St, NW",PSD, , , , , , ,6,6, , ,12, , , , ,0,0,0,0,569,,,,,,,,,,,
,0,Eastern Market,"225 7th St, SE",PSD, , , , , , ,0,7, , ,7, , , , ,0,0,0,0,570,,,,,,,,,,,
,0,District Department of the Environment,"1200 1st St, NE",PSD, , , , , , ,0,11, , ,11, , , , ,0,0,0,0,571,,,,,,,,,,,
,0,Ofc. of the State Superintendent of Ed.,"810 1st St, NE",PSD, , , , , , ,0,6, , ,6, , , , ,0,0,0,0,572,,,,,,,,,,,
,0,Benning Terrace,4550 G Street SE,DCHA, , , , , , , , , , , , , , , ,0,0,0,0,573,,,,,,,,,,,
,0,Hopkins Apartments,1430 L Street SE,DCHA, , , , , , , , , , , , , , , ,0,0,0,0,574,,,,,,,,,,,
,0,Kentucky Courts,340 13th Street SE,DCHA, , , , , , , , , , , , , , , ,0,0,0,0,575,,,,,,,,,,,
,0,Montana Terrace,"1625 Montana Ave, NE",DCHA, , , , , , , , , , , , , , , ,0,0,0,0,576,,,,,,,,,,,
,0,Villager,"3810 Southern Ave, SE",DCHA, , , , , , , , , , , , , , , ,0,0,0,0,577,,,,,,,,,,,
,0,Woodland Terrace,"2313 Ainger Place, SE",DCHA, , , , , , , , , , , , , , , ,0,0,0,0,578,,,,,,,,,,,
801,0, ,"13th St. and H St. and New York Ave., NW",DDOT,, , , ,, ,,, ,,,,, ,,397429.539964,136884.45398,38.899809,-77.029633,911,0,0, , , , , , , , , 
802,0, ,"17th St and Benning Rd., NE",DDOT,, , , ,, ,,, ,,,,, ,,401795.991872,136840.078428,38.899411,-76.979296,912,0,0, , , , , , , , , 
803,0, ,"17th St. and Lower E St., NW",DDOT,, , , ,, ,,, ,,,,, ,,396576.562491,136395.03126,38.895397,-77.039464,913,0,0, , , , , , , , , 
804,0, ,"19th St. and Pennsylvania Ave. and H St., NW",DDOT,, , , ,, ,,, ,,,,, ,,396229.906266,136928.625021,38.900202,-77.043462,914,0,0, , , , , , , , , 
805,0, ,"3rd St. and H St. and Massachusetts Ave., NW",DDOT,, , , ,, ,,, ,,,,, ,,398685.405501,136884.463708,38.899812,-77.015155,915,0,0, , , , , , , , , 
806,0, ,"3rd St. and M St., NW",DDOT,, , , ,, ,,, ,,,,, ,,398677.843837,137532.630077,38.905651,-77.015243,916,0,0, , , , , , , , , 
807,0, ,"7th St. and E St. and Frontage Rd., SW",DDOT,, , , ,, ,,, ,,,,, ,,398099.3655,135044.790011,38.883238,-77.021906,917,0,0, , , , , , , , , 
808,0, ,"Benning Rd, and Kennilworth Ramp, NE",DDOT,, , , ,, ,,, ,,,,, ,,404169.510274,136421.698652,38.895634,-76.951936,918,0,0, , , , , , , , , 
809,0, ,"Delaware Ave and I St., NW",DDOT,, , , ,, ,,, ,,,,, ,,398875.790013,134605.979994,38.879286,-77.012956,919,0,0, , , , , , , , , 
810,0, ,"First St. and N St., SE",DDOT,, , , ,, ,,, ,,,,, ,,399491.170013,134089.659994,38.874636,-77.005864,920,0,0, , , , , , , , , 
811,0, ,"First St. and Potomac Ave., SE",DDOT,, , , ,, ,,, ,,,,, ,,399489.325069,133794.500754,38.871977,-77.005885,921,0,0, , , , , , , , , 
812,0, ,"First St., and M St., SE",DDOT,, , , ,, ,,, ,,,,, ,,399490.418621,134294.611162,38.876482,-77.005873,922,0,0, , , , , , , , , 
813,0, ,"H St. and Benning Rd., NE",DDOT,, , , ,, ,,, ,,,,, ,,401436.265631,136919.946236,38.900131,-76.983442,923,0,0, , , , , , , , , 
814,0, ,"H St. and Connecticut Ave. and Jackson Pl., NW",DDOT,, , , ,, ,,, ,,,,, ,,396707.634299,136928.358557,38.900202,-77.037955,924,0,0, , , , , , , , , 
815,0, ,H St. and Union Station NE,DDOT,, , , ,, ,,, ,,,,, ,,399213.820477,136928.417149,38.900208,-77.009063,925,0,0, , , , , , , , , 
816,0, ,"H St. and Vermont Ave. and Madison Ave., NW",DDOT,, , , ,, ,,, ,,,,, ,,396952.780987,136928.312253,38.900202,-77.035129,926,0,0, , , , , , , , , 
817,0, ,South Capitol St. and Southern Ave.,DDOT,, , , ,, ,,, ,,,,, ,,399885.850014,128167.24002,38.821284,-77.001314,927,0,0, , , , , , , , , 
818,0, ,South Capitol St. and Suitland Pkwy.,DDOT,, , , ,, ,,, ,,,,, ,,399847.987006,132980.276249,38.864642,-77.001752,928,0,0, , , , , , , , , 
