X,Y,OBJECTID,LATITUDE,LONGITUDE,ROUTES,EGIS_ID,REG_ID,BSTP_GEO_ID,BSTP_OPS_TCD,BSTP_OPS_FTU_TCD,BSTP_EFF_DATE,BSTP_TCD,AT_STR,ON_STR,BSTP_HDG,BSTP_POS_TCD,BSTP_LDC,BSTP_MSG_TEXT,BSTP_LAT_LON_TCD,BSTP_INV_SYR_TCD,BSTP_INV_SRV_DATE,BSTP_BNH_CNT,BSTP_BST_TCD,BSTP_IFC_OWN,BSTP_HAS_BKRS,BSTP_HAS_PRS,BSTP_HAS_PVM,BSTP_HAS_PRM,BSTP_PDP_SIZE_TCD,BSTP_PDP_MTR_TCD,BSTP_PDP_OBS_TCD,BSTP_PDP_HAS_CCN,BSTP_HAS_BDR_PDP,BSTP_BDR_PDP_OBS,BSTP_SWK_WDT,BSTP_SWK_HAS_CCN,BSTP_SWK_HAS_PPC,BSTP_SWK_SLP_WVL,BSTP_SWK_OBS_TCD,BSTP_SWK_IPD_TCD,ONS_CRP_SLP,ONS_CRP,OFS_CRP,AT_STR_ABS_CRP,AT_STR_OSS_CRP,ONS_CWK,OFS_CWK,AT_STR_ABS_CWK,AT_STR_OSS_CWK,ON_STR_STS_OR_TFL,ON_STR_PDC_SGL,AT_STR_PDC_SGL,BSTP_PRK_RST_TCD,BSTP_NPK_ZNE_LTH,CNF_NPK_SNS,STR_LGT_WTN_30_FT,BSTP_HAS_LED_DSP,BSTP_ACC_RATING,BSTP_BRDG_STP,BSTP_HAS_LUM_SIGN,BSTP_HAS_PWR_SRC,METRO_ACCS_STP,CREATED_DATE,LAST_EDITED_DATE,BX_UPDATE_DATE,BX_UPDATE_USER,LAST_UPDATE_DATE
-77.257660638996114,38.793071930567883,5993,38.793064,-77.257656,,1300129,5000323,619,PRS,NON,1977-09-04T00:00:00.000Z,REV,RIDGE FORD DR,BURKE RD,40,NEA,UNKNOWN,BURKE RD + RIDGE FORD DR,,KFH,2012-05-15T00:00:00.000Z,0,UNK,NAPP,N,N,N,N,58U,CON,NON,Y,N,E,4,N,Y,N,NON,SLP,5.3,N,N,Y,Y,N,N,N,N,N,N,N,NSG,150,N,N,N,Y,U,U,U,U,,,,,
-76.97748047249749,38.884547589242715,5994,38.88454,-76.977475,,1308120,1000660,4700,PRS,NON,1970-06-11T00:00:00.000Z,REV,19TH ST SE,MASSACHUSETTS AVE SE,121,NEA,UNKNOWN,MASSACHUSETTS AVE SE + 19TH ST SE,,KFH,2006-05-31T00:00:00.000Z,0,UNK,WMAT,N,Y,N,Y,SWK,CON,NON,N,N,E,6,N,N,N,NON,UPV,7.2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,,N,Y,U,N,U,U,U,U,,,,,
-76.971903264748718,38.947867535820635,5995,38.94786,-76.971898,,1305720,3001556,8399,PRS,NON,1971-12-15T00:00:00.000Z,REV,24TH AVE,QUEENS CHAPEL RD,255,FAR,FRT OF #2400,QUEENS CHAPEL RD + 24TH AVE,,KFH,2006-08-25T00:00:00.000Z,0,UNK,WMAT,N,Y,N,Y,SWK,CON,NON,Y,N,E,5,Y,Y,N,NWB,UNK,7.2,N,Y,U,Y,N,N,U,N,N,N,N,NSG,,N,N,U,N,U,U,U,U,,,,,
-76.942302240279261,38.963404483924215,5996,38.963397,-76.942297,,1305718,3003193,15002,PRS,NON,1978-02-19T00:00:00.000Z,REV,44TH AVE,QUEENSBURY RD,279,FAR,UNKNOWN,QUEENSBURY RD + 44TH AVE,,KFH,2006-09-28T00:00:00.000Z,0,UNK,UNKW,N,N,N,N,SWK,CON,NON,N,N,E,4,N,N,N,NON,UPV,8.4,Y,Y,Y,Y,N,N,N,N,Y,N,N,NPL,,U,N,U,N,U,U,U,U,,,,,
-77.067572175498768,38.950920586376689,5997,38.950913,-77.067567,,1301939,1002528,8502,PRS,NON,1980-02-06T00:00:00.000Z,REV,CHESAPEAKE ST NW,CONNECTICUT AVE NW,156,NEA,UNKNOWN,CONNECTICUT AVE NW + CHESAPEAKE ST NW,,KFH,2006-04-24T00:00:00.000Z,1,INS,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,6,N,Y,N,NON,UNK,3.3,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,YMR,,N,Y,U,Y,U,U,U,U,,,,,
-77.221739776993971,38.783298932144113,5998,38.783291,-77.221735,,1304903,5000221,477,PRS,NON,1901-01-01T00:00:00.000Z,REV,TANGLEWOOD CT,GREELEY BLVD,299,FAR,UNKNOWN,GREELEY BLVD + TANGLEWOOD CT,,KFH,2012-04-04T00:00:00.000Z,0,UNK,NAPP,N,N,N,N,SWK,CON,NON,N,N,E,3,N,Y,N,NON,NON,,N,N,U,Y,N,N,E,N,N,N,N,YUN,,N,N,N,N,U,U,U,U,,,,,
-77.218937790092866,38.782714929881209,5999,38.782707,-77.218933,,1304901,5000213,463,PRS,NON,1901-01-01T00:00:00.000Z,REV,BARDU AVE,GREELEY BLVD,302,NEA,UNKNOWN,GREELEY BLVD + BARDU AVE,,KFH,2012-04-04T00:00:00.000Z,0,UNK,NAPP,N,N,N,N,SWK,CON,NON,N,N,E,3,N,Y,N,NON,NON,5.1,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,YUN,,N,N,N,N,U,U,U,U,,,,,
-77.069037168866174,38.953870583301722,6000,38.953863,-77.069032,,1308958,1002569,8600,PRS,NON,1941-08-16T00:00:00.000Z,REV,EVERETT ST NW,CONNECTICUT AVE NW,335,NEX,UNKNOWN,CONNECTICUT AVE NW + EVERETT ST NW,,KFH,2006-04-24T00:00:00.000Z,0,UNK,WMAT,N,Y,N,N,58U,CON,NON,Y,N,E,7,N,Y,N,NON,UNK,3.3,Y,N,U,Y,Y,N,Y,U,N,N,N,NSG,,N,Y,U,U,U,U,U,U,,,,,
-77.191761006650339,38.877718738445111,7001,38.877711,-77.191756,,1302756,5001365,4329,PRS,NON,1901-01-01T00:00:00.000Z,REV,WOODLEY PL,LEE HWY,255,NEA,UNKNOWN,LEE HWY + WOODLEY PL,,KFH,2012-04-13T00:00:00.000Z,0,UNK,NAPP,N,N,N,N,58U,CON,NON,Y,N,E,5,N,Y,Y,NON,NON,,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,NPL,150,N,N,N,N,U,U,U,U,,,,,
-77.255703601866131,38.773611972040122,7002,38.773604,-77.255699,,1304841,5000120,333,PRS,NON,1985-06-30T00:00:00.000Z,REV,ROSEWALL CT,FIELD MASTER DR,2,FAR,@ SPEED LIMIT SIGN,FIELD MASTER DR + ROSEWALL CT,,KFH,2012-04-18T00:00:00.000Z,0,UNK,NAPP,N,N,N,N,58U,CON,NON,Y,N,E,4,N,Y,N,NON,NON,7.6,Y,Y,Y,Y,N,N,N,N,N,N,N,YUN,,N,Y,N,Y,U,U,U,U,,,,,
